 Arlen Specter (PA),Specter ,R
 Barack H. Obama (IL),Obama   ,D
 Barbara A. Mikulski (MD),Mikulski    ,D
 Barbara Boxer (CA),Boxer   ,D
 Bill Nelson (FL),Nelson  ,D
 Blanche L. Lincoln (AR),Lincoln ,D   
 Byron L. Dorgan (ND),Dorgan  ,D
 C. Saxby Chambliss (GA),Chambliss   ,D
 Carl Levin (MI),Levin   ,D
 Charles E. 'Chuck' Grassley (IA),Grassley    ,R    
 Charles E. 'Chuck' Schumer (NY),Schumer ,D
 Charles T. 'Chuck' Hagel (NE),Hagel   ,D
 Christopher J. Dodd (CT),Dodd    ,D
 Christopher S. 'Kit' Bond (MO),Bond    ,R
 Conrad R. Burns (MT),Burns   ,R
 Craig Thomas (WY),Thomas  ,R
 Daniel K. Inouye (HI),Inouye  ,D  
 Daniel Kahikina Akaka (HI),Akaka   ,D
 David B. Vitter (LA),Vitter  ,R
 Debbie Ann Stabenow (MI),Stabenow    ,D
 Dianne Feinstein (CA),Feinstein   ,D
 E. Benjamin 'Ben' Nelson (NE),Nelson  ,D
 Edward M. 'Ted' Kennedy (MA),Kennedy ,D
 Elizabeth H. Dole (NC),Dole    ,R
 Evan Bayh (IN),Bayh    ,D    
 Frank R. Lautenberg (NJ),Lautenberg  ,D
 George Felix Allen (VA),Allen   ,R
 George V. Voinovich (OH),Voinovich   ,R
 Gordon Harold Smith (OR),Smith   ,R
 Harry M. Reid (NV),Reid    ,D
 Herbert H. 'Herb' Kohl (WI),Kohl    ,D
 Hillary Rodham Clinton (NY),Clinton ,D
 James M. 'Jim' Inhofe (OK),Inhofe  ,R
 James M. 'Jim' Talent (MO),Talent  ,R
 James Merrill 'Jim' Jeffords (VT),Jeffords    ,R
 Jeff Bingaman (NM),Bingaman    ,D
 Jefferson B. 'Jeff' Sessions III (AL),Sessions    ,R
 Jim Bunning (KY),Bunning ,R
 Jim W. DeMint (SC),DeMint  ,R
 John Cornyn (TX),Cornyn  ,R
 John D. 'Jay' Rockefeller IV (WV),Rockefeller ,D
 John E. Sununu (NH),Sununu  ,R
 John Eric Ensign (NV),Ensign  ,R
 John F. 'Jack' Reed (RI),Reed    ,D
 John Forbes Kerry (MA),Kerry   ,D
 John H. 'Johnny' Isakson (GA),Isakson ,R
 John R. Thune (SD),Thune   ,R
 John S. McCain (AZ),McCain  ,R
 John W. Warner (VA),Warner  ,R
 Jon Kyl (AZ),Kyl ,R
 Joseph I. Lieberman (CT),Lieberman   ,D
 Joseph R. Biden Jr. (DE),Biden   ,D
 Judd A. Gregg (NH),Gregg   ,R
 Kay Bailey Hutchison (TX),Hutchison   ,R
 Ken Salazar (CO),Salazar ,D
 Kent Conrad (ND),Conrad  ,D
 Lamar Alexander (TN),Alexander   ,R
 Larry E. Craig (ID),Craig   ,R
 Lincoln D. Chafee (RI),Chafee  ,D
 Lindsey O. Graham (SC),Graham  ,R
 Lisa A. Murkowski (AK),Murkowski   ,R
 Maria Cantwell (WA),Cantwell    ,D
 Mark Dayton (MN),Dayton  ,D
 Mark Pryor (AR),Pryor   ,D
 Mary L. Landrieu (LA),Landrieu    ,D
 Max S. Baucus (MT),Baucus  ,D
 Mel Martinez (FL),Martinez    ,R
 Michael B. Enzi (WY),Enzi    ,R
 Michael D. 'Mike' Crapo (ID),Crapo   ,R
 Michael 'Mike' DeWine (OH),DeWine  ,R
 Mitch McConnell (KY),McConnell   ,R
 Norm Coleman (MN),Coleman ,R
 Olympia J. Snowe (ME),Snowe   ,R
 Orrin G. Hatch (UT),Hatch   ,R
 Pat Roberts (KS),Roberts ,R
 Patrick J. Leahy (VT),Leahy   ,D
 Patty Murray (WA),Murray  ,D
 Paul S. Sarbanes (MD),Sarbanes    ,D
 Pete V. Domenici (NM),Domenici    ,R
 Richard C. Shelby (AL),Shelby  ,R
 Richard G. Lugar (IN),Lugar   ,R
 Richard J. 'Dick' Durbin (IL),Durbin  ,D
 Richard J. 'Rick' Santorum (PA),Santorum    ,R
 Richard M. Burr (NC),Burr    ,R
 Robert C. Byrd (WV),Byrd    ,D
 Robert F. Bennett (UT),Bennett ,R
 Robert Menendez (NJ),Menendez    ,D
 Ron Wyden (OR),Wyden   ,D
 Russell D. Feingold (WI),Feingold    ,D
 Samuel D. 'Sam' Brownback (KS),Brownback   ,R
 Susan M. Collins (ME),Collins ,R
 Ted Stevens (AK),Stevens ,R
 Thad Cochran (MS),Cochran ,R
 Thomas Allen 'Tom' Coburn (OK),Coburn  ,R
 Thomas Richard Carper (DE),Carper  ,D
 Thomas 'Tom' Harkin (IA),Harkin  ,D
 Tim P. Johnson (SD),Johnson ,D
 Trent Lott (MS),Trent Lott  ,R
 Wayne A. Allard (CO),Allard  ,R
 William H. 'Bill' Frist (TN),Frist   ,R
